survey_condition,SID,survey_name,item,value,article_number,topic,article_cond,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
comment,s002,comment,1,This article matters to people I know because it's important to be informed on climate change and vote to make a difference. My generation will be affected by climate change so this impacts my friends.,71,climate,social,1,35,31.66,6.16,91.58,65.27,17.5,34.29,91.43,65.71,51.43,17.14,8.57,8.57,0,0,0,0,8.57,14.29,2.86,0,14.29,11.43,2.86,8.57,0,22.86,2.86,0,2.86,2.86,0,0,28.57,0,28.57,5.71,17.14,0,0,0,2.86,0,2.86,2.86,0,0,0,0,0,0,0,0,5.71,2.86,0,0,0,0,2.86,2.86,0,2.86,0,0,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,8.57,5.71,2.86,2.86,0,0,0,0,0
comment,s008,comment,1,It is about opening up oil and gas drilling within the Arctic National Wildlife Refuge.,10,climate,control,1,15,89.52,40.06,63.35,20.23,15,26.67,60,53.33,46.67,6.67,0,0,0,0,0,0,6.67,6.67,6.67,0,20,6.67,6.67,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,6.67,0,0,0,0,0,0
comment,s009,comment,1,This article matters to me personally because I am a citizen of the US and the actions our leadership takes on global issues reflects upon me as a citizen.,46,climate,self,1,29,89.52,78.45,67.94,20.23,29,31.03,86.21,68.97,62.07,17.24,13.79,10.34,3.45,0,0,0,3.45,20.69,13.79,0,17.24,3.45,0,10.34,0,6.9,3.45,0,6.9,3.45,0,3.45,10.34,0,10.34,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,0,0,0,13.79,0,0,0,0,13.79,13.79,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,10.34,0,0,6.9,3.45,0,0,0,0,6.9,0,0,0,0,0,0
comment,s011,comment,1,I think they say that diet is 80% food intake and 20% movement. It is important to watch what we are putting in our bodies!,75,health,self,1,25,7.03,98.38,63.35,81.12,12.5,12,96,68,52,28,16,4,8,0,0,4,12,8,0,8,8,12,0,4,0,24,4,0,8,8,0,0,4,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,16,4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,8,4,4,0,0,0,0,12,0,0,0,0,0,0
comment,s015,comment,1,It says that white meat and red meat both have the same level of cholesterol on peoples bodies,3,health,control,1,18,79.79,40.06,10.18,20.23,18,11.11,100,66.67,44.44,11.11,0,0,0,0,0,0,11.11,16.67,5.56,0,11.11,5.56,0,5.56,0,11.11,16.67,5.56,0,0,0,0,5.56,0,5.56,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,5.56,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,5.56,16.67,0,0,5.56,11.11,0,0,0,0,5.56,0,0,0,0,0,0
comment,s020,comment,1,Oil and energy companies are lobbying for keeping Trump's rollback of fuel efficiency rules,90,climate,control,1,14,89.52,40.06,1,98.65,14,35.71,64.29,35.71,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,7.14,0,14.29,0,0,14.29,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0
comment,s024,comment,1,Is it really cows? Or is it corporations?,1,climate,social,1,8,1,1.71,15.38,20.23,4,12.5,87.5,75,75,25,0,0,0,0,0,0,25,0,0,0,0,25,12.5,12.5,0,25,0,0,0,0,0,0,25,0,25,0,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
comment,s027,comment,1,"It seems like oil drilling companies have won the battle, with government support, for drilling in a natural preserve.",10,climate,control,1,19,99,40.06,8.42,92.27,19,36.84,78.95,63.16,42.11,5.26,0,0,0,0,0,0,5.26,10.53,10.53,0,21.05,5.26,0,0,0,21.05,5.26,0,10.53,0,5.26,5.26,5.26,0,5.26,5.26,0,0,5.26,0,0,0,15.79,10.53,5.26,0,0,0,0,0,0,0,10.53,10.53,5.26,0,5.26,0,0,0,0,0,0,0,5.26,5.26,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,15.79,5.26,0,0,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,0
comment,s032,comment,1,this doesn't exactly affect anybody i know,87,climate,social,1,7,1,1,99,20.23,7,14.29,100,85.71,57.14,42.86,14.29,14.29,0,0,0,0,28.57,14.29,0,0,0,0,0,0,14.29,28.57,0,0,0,0,0,0,71.43,0,71.43,14.29,14.29,0,42.86,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comment,s037,comment,1,Climate change affects everyone and we should all be concerned.,21,climate,self,1,10,1,99,1,20.23,10,40,90,80,60,20,10,0,10,0,0,0,10,10,0,0,0,20,0,10,0,30,10,10,10,10,0,0,60,20,40,0,20,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
