"study","group","pID","msg_condition","msg_number","msg_content","msg_valence","msg_medium","scale_name","item","value"
"bbprime_causal","timed","bbprime_causal_s001","control",58,"health",NA,"news","msg_read","1",96
"bbprime_causal","comment","bbprime_causal_s002","social",71,"climate",NA,"news","msg_read","1",61
"bbprime_causal","untimed","bbprime_causal_s003","self",37,"climate",NA,"news","msg_read","1",79
"bbprime_causal","timed","bbprime_causal_s004","control",6,"climate",NA,"news","msg_read","1",56
"bbprime_causal","untimed","bbprime_causal_s005","control",93,"health",NA,"news","msg_read","1",76
"bbprime_causal","untimed","bbprime_causal_s006","self",30,"climate",NA,"news","msg_read","1",99
"bbprime_causal","timed","bbprime_causal_s007","self",82,"climate",NA,"news","msg_read","1",60
"bbprime_causal","comment","bbprime_causal_s008","control",10,"climate",NA,"news","msg_read","1",62
"bbprime_causal","comment","bbprime_causal_s009","self",46,"climate",NA,"news","msg_read","1",60
"bbprime_causal","untimed","bbprime_causal_s010","control",62,"health",NA,"news","msg_read","1",100
"bbprime_causal","comment","bbprime_causal_s011","self",75,"health",NA,"news","msg_read","1",90
"bbprime_causal","untimed","bbprime_causal_s012","control",25,"climate",NA,"news","msg_read","1",14
"bbprime_causal","untimed","bbprime_causal_s013","self",52,"climate",NA,"news","msg_read","1",45
"bbprime_causal","untimed","bbprime_causal_s014","control",76,"climate",NA,"news","msg_read","1",67
"bbprime_causal","comment","bbprime_causal_s015","control",3,"health",NA,"news","msg_read","1",20
"bbprime_causal","timed","bbprime_causal_s016","control",68,"health",NA,"news","msg_read","1",61
"bbprime_causal","timed","bbprime_causal_s017","self",17,"health",NA,"news","msg_read","1",12
"bbprime_causal","timed","bbprime_causal_s018","social",93,"health",NA,"news","msg_read","1",81
"bbprime_causal","untimed","bbprime_causal_s019","social",78,"health",NA,"news","msg_read","1",10
"bbprime_causal","comment","bbprime_causal_s020","control",90,"climate",NA,"news","msg_read","1",72
"bbprime_causal","timed","bbprime_causal_s021","social",51,"health",NA,"news","msg_read","1",3
"bbprime_causal","untimed","bbprime_causal_s022","control",37,"climate",NA,"news","msg_read","1",90
"bbprime_causal","untimed","bbprime_causal_s023","social",49,"health",NA,"news","msg_read","1",72
"bbprime_causal","comment","bbprime_causal_s024","social",1,"climate",NA,"news","msg_read","1",49
"bbprime_causal","untimed","bbprime_causal_s025","control",66,"climate",NA,"news","msg_read","1",77
"bbprime_causal","untimed","bbprime_causal_s026","self",44,"health",NA,"news","msg_read","1",23
"bbprime_causal","comment","bbprime_causal_s027","control",10,"climate",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s028","self",63,"climate",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s029","social",32,"climate",NA,"news","msg_read","1",84
"bbprime_causal","timed","bbprime_causal_s030","control",92,"climate",NA,"news","msg_read","1",79
"bbprime_causal","timed","bbprime_causal_s031","control",72,"climate",NA,"news","msg_read","1",10
"bbprime_causal","comment","bbprime_causal_s032","social",87,"climate",NA,"news","msg_read","1",21
"bbprime_causal","untimed","bbprime_causal_s033","social",48,"climate",NA,"news","msg_read","1",70
"bbprime_causal","timed","bbprime_causal_s034","social",89,"climate",NA,"news","msg_read","1",97
"bbprime_causal","timed","bbprime_causal_s035","self",77,"climate",NA,"news","msg_read","1",58
"bbprime_causal","untimed","bbprime_causal_s036","social",45,"climate",NA,"news","msg_read","1",80
"bbprime_causal","comment","bbprime_causal_s037","self",21,"climate",NA,"news","msg_read","1",92
"bbprime_causal","timed","bbprime_causal_s038","self",83,"health",NA,"news","msg_read","1",91
"bbprime_causal","untimed","bbprime_causal_s039","self",21,"climate",NA,"news","msg_read","1",100
"bbprime_causal","timed","bbprime_causal_s040","control",26,"climate",NA,"news","msg_read","1",82
"bbprime_causal","comment","bbprime_causal_s041","control",28,"health",NA,"news","msg_read","1",90
"bbprime_causal","comment","bbprime_causal_s042","self",58,"health",NA,"news","msg_read","1",73
"bbprime_causal","comment","bbprime_causal_s043","social",21,"climate",NA,"news","msg_read","1",82
"bbprime_causal","timed","bbprime_causal_s044","social",47,"climate",NA,"news","msg_read","1",0
"bbprime_causal","untimed","bbprime_causal_s045","self",9,"climate",NA,"news","msg_read","1",14
"bbprime_causal","timed","bbprime_causal_s046","social",43,"health",NA,"news","msg_read","1",95
"bbprime_causal","untimed","bbprime_causal_s047","control",62,"health",NA,"news","msg_read","1",79
"bbprime_causal","untimed","bbprime_causal_s048","self",54,"health",NA,"news","msg_read","1",68
"bbprime_causal","timed","bbprime_causal_s049","self",84,"health",NA,"news","msg_read","1",76
"bbprime_causal","untimed","bbprime_causal_s050","control",81,"climate",NA,"news","msg_read","1",51
"bbprime_causal","untimed","bbprime_causal_s051","social",91,"health",NA,"news","msg_read","1",33
"bbprime_causal","timed","bbprime_causal_s052","control",34,"health",NA,"news","msg_read","1",43
"bbprime_causal","comment","bbprime_causal_s053","control",49,"health",NA,"news","msg_read","1",60
"bbprime_causal","untimed","bbprime_causal_s054","social",0,"health",NA,"news","msg_read","1",75
"bbprime_causal","timed","bbprime_causal_s055","self",75,"health",NA,"news","msg_read","1",39
"bbprime_causal","untimed","bbprime_causal_s056","control",69,"health",NA,"news","msg_read","1",5
"bbprime_causal","comment","bbprime_causal_s057","social",0,"health",NA,"news","msg_read","1",100
"bbprime_causal","timed","bbprime_causal_s058","social",48,"climate",NA,"news","msg_read","1",22
"bbprime_causal","timed","bbprime_causal_s059","self",94,"health",NA,"news","msg_read","1",100
"bbprime_causal","timed","bbprime_causal_s060","social",85,"climate",NA,"news","msg_read","1",72
"bbprime_causal","untimed","bbprime_causal_s061","self",27,"climate",NA,"news","msg_read","1",64
"bbprime_causal","untimed","bbprime_causal_s062","control",13,"climate",NA,"news","msg_read","1",100
"bbprime_causal","comment","bbprime_causal_s063","social",23,"health",NA,"news","msg_read","1",100
"bbprime_causal","comment","bbprime_causal_s064","control",28,"health",NA,"news","msg_read","1",63
"bbprime_causal","timed","bbprime_causal_s065","social",71,"climate",NA,"news","msg_read","1",0
"bbprime_causal","comment","bbprime_causal_s066","control",1,"climate",NA,"news","msg_read","1",95
"bbprime_causal","comment","bbprime_causal_s067","social",28,"health",NA,"news","msg_read","1",57
"bbprime_causal","untimed","bbprime_causal_s068","self",51,"health",NA,"news","msg_read","1",60
"bbprime_causal","timed","bbprime_causal_s069","control",40,"climate",NA,"news","msg_read","1",44
"bbprime_causal","timed","bbprime_causal_s070","control",5,"health",NA,"news","msg_read","1",91
"bbprime_causal","untimed","bbprime_causal_s071","social",92,"climate",NA,"news","msg_read","1",1
"bbprime_causal","comment","bbprime_causal_s072","control",72,"climate",NA,"news","msg_read","1",40
"bbprime_causal","timed","bbprime_causal_s073","social",85,"climate",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s074","control",3,"health",NA,"news","msg_read","1",59
"bbprime_causal","untimed","bbprime_causal_s075","self",13,"climate",NA,"news","msg_read","1",4
"bbprime_causal","comment","bbprime_causal_s076","social",45,"climate",NA,"news","msg_read","1",85
"bbprime_causal","timed","bbprime_causal_s077","social",29,"health",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s078","social",61,"climate",NA,"news","msg_read","1",53
"bbprime_causal","untimed","bbprime_causal_s079","control",76,"climate",NA,"news","msg_read","1",66
"bbprime_causal","untimed","bbprime_causal_s080","control",50,"climate",NA,"news","msg_read","1",90
"bbprime_causal","untimed","bbprime_causal_s081","control",48,"climate",NA,"news","msg_read","1",88
"bbprime_causal","untimed","bbprime_causal_s082","social",42,"climate",NA,"news","msg_read","1",81
"bbprime_causal","timed","bbprime_causal_s083","self",40,"climate",NA,"news","msg_read","1",100
"bbprime_causal","comment","bbprime_causal_s084","self",33,"health",NA,"news","msg_read","1",57
"bbprime_causal","untimed","bbprime_causal_s085","self",57,"health",NA,"news","msg_read","1",81
"bbprime_causal","untimed","bbprime_causal_s086","control",30,"climate",NA,"news","msg_read","1",99
"bbprime_causal","timed","bbprime_causal_s087","social",6,"climate",NA,"news","msg_read","1",67
"bbprime_causal","comment","bbprime_causal_s088","control",16,"health",NA,"news","msg_read","1",100
"bbprime_causal","timed","bbprime_causal_s089","control",79,"health",NA,"news","msg_read","1",0
"bbprime_causal","comment","bbprime_causal_s090","social",21,"climate",NA,"news","msg_read","1",0
"bbprime_causal","untimed","bbprime_causal_s091","control",78,"health",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s092","control",83,"health",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s093","self",16,"health",NA,"news","msg_read","1",51
"bbprime_causal","comment","bbprime_causal_s094","self",94,"health",NA,"news","msg_read","1",49
"bbprime_causal","comment","bbprime_causal_s095","social",4,"climate",NA,"news","msg_read","1",80
"bbprime_causal","untimed","bbprime_causal_s096","social",30,"climate",NA,"news","msg_read","1",85
"bbprime_causal","comment","bbprime_causal_s097","control",80,"health",NA,"news","msg_read","1",0
"bbprime_causal","untimed","bbprime_causal_s098","self",40,"climate",NA,"news","msg_read","1",100
"bbprime_causal","untimed","bbprime_causal_s099","self",40,"climate",NA,"news","msg_read","1",80
"bbprime_causal","untimed","bbprime_causal_s100","self",12,"climate",NA,"news","msg_read","1",41
