SID,article_number,value,Tone,Arousal,sharing_type,sharing
s001,9,A shrinking GDP and economy would be bad for me because it means there will be fewer economic opportunities for me in the future.,0,2,msg_share_broad,63
s001,9,A shrinking GDP and economy would be bad for me because it means there will be fewer economic opportunities for me in the future.,0,2,msg_share_narrow,63
s001,5,A skier trying to save snow and a scientist who won a prize for mapping peat.,1,2,msg_share_narrow,0
s001,5,A skier trying to save snow and a scientist who won a prize for mapping peat.,1,2,msg_share_broad,3
s001,7,Climate change is making current wildfires all over the world even worse,0,4,msg_share_broad,93
s001,7,Climate change is making current wildfires all over the world even worse,0,4,msg_share_narrow,93
s001,1,"Getting my own wind turbine could save me money on energy in the future, I would like to learn about wind turbines more.",1,2,msg_share_broad,93
s001,1,"Getting my own wind turbine could save me money on energy in the future, I would like to learn about wind turbines more.",1,2,msg_share_narrow,93
s001,2,How to get rid of children's picky eating habits and get them to eat healthier,1,2,msg_share_broad,50
s001,2,How to get rid of children's picky eating habits and get them to eat healthier,1,2,msg_share_narrow,51
s001,3,I guess if they are harming the environment that I live in then they should be punished for that.,0,2,msg_share_narrow,33
s001,3,I guess if they are harming the environment that I live in then they should be punished for that.,0,2,msg_share_broad,34
s001,4,"I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",1,2,msg_share_broad,88
s001,4,"I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",1,2,msg_share_narrow,88
s001,0,"If you skip breakfast before you workout,  it could help you lose weight.",1,2,msg_share_broad,14
s001,0,"If you skip breakfast before you workout,  it could help you lose weight.",1,2,msg_share_narrow,15
s001,8,It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.,1,2,msg_share_narrow,75
s001,8,It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.,1,2,msg_share_broad,80
s001,6,"When trying to lose weight, it is important for me to remember to maintain a diet as well rather than just workout.",1,2,msg_share_broad,95
s001,6,"When trying to lose weight, it is important for me to remember to maintain a diet as well rather than just workout.",1,2,msg_share_narrow,95
s003,75,A breakdown of the elections and how the votes involving Climate Change went.,1,2,msg_share_broad,0
s003,75,A breakdown of the elections and how the votes involving Climate Change went.,1,2,msg_share_narrow,0
s003,79,Because garbage in the ocean is a huge issue that needs to be solved.,1,2,msg_share_broad,0
s003,79,Because garbage in the ocean is a huge issue that needs to be solved.,1,2,msg_share_narrow,0
s003,76,Because I know a lot of people higher in age.,0,1,msg_share_broad,0
s003,76,Because I know a lot of people higher in age.,0,1,msg_share_narrow,0
s003,77,Because its fighting the misinformation so prevelant in media these days.,1,2,msg_share_broad,0
s003,77,Because its fighting the misinformation so prevelant in media these days.,1,2,msg_share_narrow,0
s003,70,Because people I know live in poverty and can probably relate.,0,2,msg_share_broad,0
s003,70,Because people I know live in poverty and can probably relate.,0,2,msg_share_narrow,0
s003,73,Breakdown of a bill by senator Schumer about climate change.,1,1,msg_share_broad,0
s003,73,Breakdown of a bill by senator Schumer about climate change.,1,1,msg_share_narrow,0
s003,74,Could help with weight gain which would help a lot of people.,1,2,msg_share_narrow,0
s003,74,Could help with weight gain which would help a lot of people.,1,2,msg_share_broad,3
s003,78,Explains why even though people exercise they don't lose the weight they want to.,1,2,msg_share_broad,0
s003,78,Explains why even though people exercise they don't lose the weight they want to.,1,2,msg_share_narrow,0
s003,72,Maybe it could do more than just make people run faster. Maybe do other things faster.,1,2,msg_share_narrow,10
s003,72,Maybe it could do more than just make people run faster. Maybe do other things faster.,1,2,msg_share_broad,11
s003,71,Seems to be a rundown of an interview with an oceanographer.,1,2,msg_share_broad,0
s003,71,Seems to be a rundown of an interview with an oceanographer.,1,2,msg_share_narrow,0
s005,81,"5 Takeaways from Climate TECH recent conference. Took place in San Francisco. Topics include, new technology, big data, lab grown meat, new governor candidate and more.",1,1,msg_share_broad,0
s005,81,"5 Takeaways from Climate TECH recent conference. Took place in San Francisco. Topics include, new technology, big data, lab grown meat, new governor candidate and more.",1,1,msg_share_narrow,0
s005,88,CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.,0,2,msg_share_narrow,100
s005,88,CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.,0,2,msg_share_broad,94
s005,85,"Climate change and global warming may destroy historical heritage sites, such as the ancient place in the Mediterranean.",0,4,msg_share_narrow,0
s005,85,"Climate change and global warming may destroy historical heritage sites, such as the ancient place in the Mediterranean.",0,4,msg_share_broad,16
s005,87,Climate change costs might effect our job market and bills or taxes going higher in the next 5 years.,0,2,msg_share_broad,100
s005,87,Climate change costs might effect our job market and bills or taxes going higher in the next 5 years.,0,2,msg_share_narrow,100
s005,89,Endangered animal species act might be overhauled. Because of the job market as a factor. I wonder if it's for the good or the bad.,0,2,msg_share_narrow,0
s005,89,Endangered animal species act might be overhauled. Because of the job market as a factor. I wonder if it's for the good or the bad.,0,2,msg_share_broad,45
s005,83,Green energy is better for the environment and Earth health. Something to consider.,1,2,msg_share_narrow,100
s005,83,Green energy is better for the environment and Earth health. Something to consider.,1,2,msg_share_broad,95
s005,82,"Heart risks and high levels can possibly lead Parkinson's disease, scary stuff.",0,2,msg_share_broad,65
s005,82,"Heart risks and high levels can possibly lead Parkinson's disease, scary stuff.",0,2,msg_share_narrow,74
s005,84,"Lifestyle changes, such as quit smoking, exercise more, dealing with stress and more can help stabilize and clear up plaque, unclog arteries and protect your heart health.",1,4,msg_share_narrow,85
s005,84,"Lifestyle changes, such as quit smoking, exercise more, dealing with stress and more can help stabilize and clear up plaque, unclog arteries and protect your heart health.",1,4,msg_share_broad,89
s005,80,Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.,0,2,msg_share_narrow,100
s005,80,Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.,0,2,msg_share_broad,87
s005,86,The BOKS program for children and exercise before class might make children feel better and thrive more in school.,1,4,msg_share_broad,0
s005,86,The BOKS program for children and exercise before class might make children feel better and thrive more in school.,1,4,msg_share_narrow,0
s009,68,Healthy and nutritional value of banana over carbonated drinks,1,2,msg_share_narrow,72
s009,68,Healthy and nutritional value of banana over carbonated drinks,1,2,msg_share_broad,78
s009,64,I am a health conscious young person who follows plant based diet,1,2,msg_share_broad,67
s009,64,I am a health conscious young person who follows plant based diet,1,2,msg_share_narrow,81
s009,60,I am a young person who is attempting to become a parent in near future,1,1,msg_share_broad,50
s009,60,I am a young person who is attempting to become a parent in near future,1,1,msg_share_narrow,75
s009,67,I am a young person who is concerned with environment impact of human actions on earth and my future generations.,1,4,msg_share_narrow,53
s009,67,I am a young person who is concerned with environment impact of human actions on earth and my future generations.,1,4,msg_share_broad,54
s009,63,I own a home and live near wooded area that is prone to wildfires,0,2,msg_share_broad,52
s009,63,I own a home and live near wooded area that is prone to wildfires,0,2,msg_share_narrow,52
s009,61,Political process for energy exploration efforts in ecologically sensitive area,0,2,msg_share_broad,52
s009,61,Political process for energy exploration efforts in ecologically sensitive area,0,2,msg_share_narrow,53
s009,66,Potential risks of gluten-free diet on healthy individuals,0,2,msg_share_broad,36
s009,66,Potential risks of gluten-free diet on healthy individuals,0,2,msg_share_narrow,50
s009,62,Running race designed to challenge runners,1,2,msg_share_narrow,22
s009,62,Running race designed to challenge runners,1,2,msg_share_broad,27
s009,69,Some effective ways to recycle things,1,2,msg_share_broad,51
s009,69,Some effective ways to recycle things,1,2,msg_share_narrow,52
s009,65,"The article covers an inspiring story on advocacy for climate change, which is important to me",1,4,msg_share_narrow,51
s009,65,"The article covers an inspiring story on advocacy for climate change, which is important to me",1,4,msg_share_broad,52
s012,107,"if we want clean air, we should stop using less deodorant and other perfumes.",1,2,msg_share_narrow,41
s012,107,"if we want clean air, we should stop using less deodorant and other perfumes.",1,2,msg_share_broad,59
s012,109,Kids skipped school to protest demand on climate issues.,1,4,msg_share_narrow,1
s012,109,Kids skipped school to protest demand on climate issues.,1,4,msg_share_broad,9
