gpt_arousal_ratings,value,SID
3.0,It's always goof to have moral support to treat eating disorders,s348
3.0,we should have responsible for keep our wilds from fire free.,s623
2.0,A proposal to reduce the 28 country bloc's net carbon emission failed,s622
1.0,"to prevent the plants , its god's gift",s496
3.0,"As the climate changes, more heritage sites are being affected.",s083
3.0,"With climate change currently happening and our country doing nothing to curb it and living in an earthquake state, people I know should read this article to keep themselves and their assets safe. Knowing the risk of not being insured and what the costs can be may help people make decisions that may better keep them safe and secure.",s062
3.0,"My sexual function may be getting worse, but not bad enough to take these dangerous supplements.",s371
1.0,Bananas may be healthier than the sports drinks they are drinking,s153
1.0,These vegan foods are good for health,s581
3.0,Climate change is a scam and so are the people who sell it.,s195
1.0,This article does not surprise anyone.,s119
1.0,Peoples are must knows the technology and business leaders.,s548
1.0,Being healthy as I get older gets more and more important.,s577
3.0,"This is not proofed yet. Paints a picture of snake-oil sales, hyped-up claims and minuscule science",s054
1.0,VITAMIN D WAS IMPORTANT DURING PREGNANCY,s237
1.0,This is an article about the ineffectiveness of supplements to ease muscle soreness after working out.,s471
3.0,due to cause of the disaster like floods and climate change the people get the flood insurance in the change of climate increases,s046
1.0,"This article is about the similarities of ""bad"" cholesterol levels in red and white meats.",s106
3.0,Kidney stones are so painful good to know how to prevent them.,s514
1.0,eat calcium rich foods to avoid kidney stone.,s143
1.0,The article is about having a better nights sleep when sleeping with their dog in the bedroom.,s287
1.0,we all need to protect the environment,s307
3.0,IMPACTS IN CITY DUE TO HEAT,s159
3.0,"If this diet unlikely to provide benefits, i make sure all people in my community should know about it",s197
1.0,Low impact sports for exercise might make bones weaker in old age,s305
3.0,because most people i know care about the climate and how to try to fix the issues that earth is having,s045
1.0,My dad owns an S.U.V. so he may be a bit environmentally conscious to this fact.,s338
1.0,This article matters to people I know because many of them want to eat healthy,s570
3.0,"It matters to me because it is important for myself and the rest of us to maintain a healthy body, in order to live a fit and fulfilling life.",s147
3.0,I know a lot of people who eat deli meat daily that should be aware of this.,s090
1.0,poor hearing being associated with more injuries,s419
1.0,its about silicon valley start up,s208
3.0,Stop eatting so much. Be a good human. It will save the planet. People should care to sve eachother in the long run.,s116
3.0,Cancer can strike anyone at any time.,s189
3.0,Exercise is important and will help keep our bodies 'young',s627
3.0,four continents affected by havoc.,s075
1.0,The effect of antioxidants on after exercise soreness.,s490
1.0,This article is about certain foods that vegans eat that cause Gout.,s100
1.0,disadvantages of soft drinks,s615
3.0,handy guide helps you reduce your own carbon foot print,s208
2.0,In Australia a permit was granted for a coal mine,s177
1.0,The article is about how to reduce your carbon footprint and make better green choices.,s062
3.0,This is good to know! I will pass this information along to my female family and friends and hopefully they will be able to reduce their risk for breast cancer.,s278
3.0,The article is about the floating garbage field in the pacific ocean and how it is much larger and faster growing than thought.,s316
3.0,The article is about the Senator's proposal about giving Americans vouchers in order for them to be encouraged to purchase American-made cars that are electric and hybrid vehicles. This would help with Climate Change and lessen the carbon footprint of Americans.,s166
3.0,That climate change happening faster with the collapse in the Tibet area makes scientist more worried.,s268
3.0,Based on this study hard work exercise will build a strength with in 13 minutes and it's really useful to work on.,s420
1.0,Its about the conference regarding climate and technological range.,s568
1.0,eating bananas helps a lot in carbohydrates,s473
1.0,People I know believe that climate change is happening,s249
1.0,"Bad to hear , but we can't stop the nature here",s402
1.0,The article talks about how to stop your habit of using single-use items and how to get into more environmentally friendly habits.,s406
3.0,"The article cites several lifestyle changes that can decrease the risk of heart attack including diet, exercise, managing stress and quitting smoking.",s538
3.0,looks like babies can have food sooner than we thought,s214
3.0,Dreaming about the days when lab grown meat is affordable for the average consumer and factory farming is a thing of the past!,s201
1.0,Exercise alone without changes to diet will not be enough to make people loss weight.,s281
3.0,Minimising the impact of climate change which will reduce land been underwater.,s352
1.0,This means that I'll have to find some other way to ease my sore muscles.,s422
3.0,It's important because it may be a solution to healthy weight management that a lot of people I know struggle with.,s078
1.0,This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.,s187
3.0,It matters to me because I can be affected by climate change in 20 years.,s308
3.0,"The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",s361
3.0,technology to combat climate change will be beneficial for my life in the long term,s608
3.0,Working out and being healthy is better then smoking,s493
1.0,This is a loss for me since I love studying rare animals.,s056
3.0,Taking supplement is healthier way and increase the nutrition.,s331
1.0,"Obesity, high blood pressure, high blood sugar, high cholesterol, and whatever a triglyceride is could lead to people developing Parkinson's at a greater rate.  More dangers of obesity and poor diet, I imagine.",s498
3.0,I think people are generally not very attentive while driving and more people are driving larger vehicles.,s589
3.0,People I know care about their future and want to be prepared for issues that will effect them now and later.,s406
1.0,Because everyone I know is having some hearing trouble,s140
2.0,The article is about garbage and how it is piling up in the Pacific Ocean between California and Hawaii.,s166
1.0,Drinking less sugar drinks improves health.,s049
1.0,People are interested in different methods for weight loss.,s558
1.0,Romantic partner involvement in treating eating disorders,s140
1.0,My grandmother has cancer and I think this is very inspirational.,s635
3.0,This article is about US climate report that warns of damaged environment and a shrinking economy. The US would lose 10% of GDP by 2100.,s251
3.0,recycling process must be followed to reduce the pollution. It must be followed by all the peoples who were in the us. It is beneficial process.,s442
1.0,My dad has heart disease and really needs to apply these changes.,s234
1.0,Australia helps for burning coal in future.,s143
3.0,This article matters because I have a carbon footprint that impacts the world around me.,s106
2.0,About list of heritage sites that can be affected by climate change.,s400
1.0,This article is about company related risks,s321
1.0,dont fear for hear  monitor,s530
1.0,The mice were too tired to keep moving after a big work out.,s066
1.0,it's really sad that our earth consumes this much plastics because of human,s002
1.0,The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.,s021
1.0,It matters because I would like to know which is better,s280
3.0,It was awareness to me,s358
3.0,This is interesting...who even considered that exercising makes us want to eat more?!,s205
3.0,"The article talks about what people can do to help improve the earth, in the coming year. It also discusses a government shutdown and presents a Democratic plan to help address climate change.",s448
3.0,This article matters to me personally because I want to learn information that can help me ensure that my nephew is happy and healthy.,s223
3.0,How to prepare for the increase in flooding caused by global warming.,s288
1.0,We should carry a reusable bag and should carry our own cloth grocery bags.,s186
