SID,article_number,sharing_type,score
s001,8,msg_share_broad,80
s003,72,msg_share_broad,11
s005,88,msg_share_broad,94
s009,68,msg_share_broad,78
s012,109,msg_share_broad,9
s015,47,msg_share_broad,88
s018,99,msg_share_broad,81
s020,82,msg_share_broad,23
s024,27,msg_share_broad,11
s028,109,msg_share_broad,85
s031,49,msg_share_broad,84
s036,93,msg_share_broad,8
s038,65,msg_share_broad,0
s041,51,msg_share_broad,96
s043,17,msg_share_broad,5
s046,51,msg_share_broad,93
s049,94,msg_share_broad,71
s052,8,msg_share_broad,51
s054,89,msg_share_broad,20
s056,105,msg_share_broad,59
s058,24,msg_share_broad,31
s063,23,msg_share_broad,0
s065,73,msg_share_broad,81
s067,82,msg_share_broad,4
s069,100,msg_share_broad,0
s072,25,msg_share_broad,64
s074,107,msg_share_broad,67
s076,19,msg_share_broad,65
s079,107,msg_share_broad,83
s081,73,msg_share_broad,1
s083,88,msg_share_broad,59
s085,28,msg_share_broad,3
s089,10,msg_share_broad,7
s092,85,msg_share_broad,51
s095,48,msg_share_broad,0
s099,50,msg_share_broad,0
s101,35,msg_share_broad,16
s104,90,msg_share_broad,53
s108,15,msg_share_broad,8
s111,55,msg_share_broad,0
s113,88,msg_share_broad,2
s115,53,msg_share_broad,2
s117,68,msg_share_broad,70
s119,9,msg_share_broad,0
s121,72,msg_share_broad,63
s123,3,msg_share_broad,74
s125,43,msg_share_broad,0
s127,3,msg_share_broad,74
s132,1,msg_share_broad,0
s134,52,msg_share_broad,65
s137,89,msg_share_broad,100
s140,96,msg_share_broad,0
s143,41,msg_share_broad,36
s146,101,msg_share_broad,29
s149,75,msg_share_broad,87
s151,17,msg_share_broad,100
s155,65,msg_share_broad,77
s157,19,msg_share_broad,82
s160,49,msg_share_broad,44
s163,20,msg_share_broad,100
s167,80,msg_share_broad,0
s170,62,msg_share_broad,80
s177,28,msg_share_broad,27
s184,98,msg_share_broad,37
s186,54,msg_share_broad,11
s189,27,msg_share_broad,0
s192,55,msg_share_broad,63
s194,36,msg_share_broad,1
s196,35,msg_share_broad,56
s198,86,msg_share_broad,79
s201,85,msg_share_broad,28
s204,18,msg_share_broad,10
s206,86,msg_share_broad,77
