tone_ratings,value,SID
0.0,A shrinking GDP and economy would be bad for me because it means there will be fewer economic opportunities for me in the future.,s001
1.0,Its good to consume more vitamin D to help child's bone and teeth,s002
0.0,Because people I know live in poverty and can probably relate.,s003
1.0,"Wildfires are going to become more common as climate change continues unabated, so lets learn something about how to protects ourselves better against the risks of fire.",s004
1.0,Green energy is better for the environment and Earth health. Something to consider.,s005
1.0,I care about my family and want to keep them aware.,s008
1.0,I am a young person who is concerned with environment impact of human actions on earth and my future generations.,s009
1.0,The article tells you how switching to a green energy provider can help with climate change,s010
1.0,"if we want clean air, we should stop using less deodorant and other perfumes.",s012
1.0,I am always interested in dietary information and health.,s014
0.0,This should worry you a lot as it is a sign of climate change that might be un-reversible and will effect our children and grandchildren.,s015
0.0,Climate change is likely to put various big companies at financial risks.,s017
1.0,I know some people whose kids are chubby and this article may help them to develop better eating habits for their children.,s018
1.0,"The article is about the heatwave that hit Europe. Also, It says that the USA could face the same challenge.",s019
1.0,Some people advocate to use green energy.,s020
0.0,This article matters to me because coal poses a risk to my health.,s021
0.0,"Most of my friends and family live somewhere near the Mississippi River, a few have been affected by floods.",s024
0.0,"This article matters to people I know because if this rare vaquita porpoise becomes extinct, then this species vanishes off the face of the Earth forever and that has downstream consequences to other species.",s025
0.0,It is related to the people i know who were living in the climatic site,s028
1.0,It is always important to use the resource that we have possible as much as possible and so it matters me personally.,s030
1.0,Improving the strength.,s031
1.0,This article explains the importance of following a certain diet for vegans.,s032
1.0,I think it would be nice if more people had healthy relationships.,s036
1.0,about the oil industry technology,s037
1.0,The gluten-free diet has had a minority of objections to consider what possible issues it might bring.,s038
0.0,it is related to me because my invasive grasses.,s040
0.0,This article is providing information on how people are reluctant to buy disaster insurance even though the climate changes had gotten worse by year.,s041
0.0,"the administration is sitting on tens of billions of dollars in unspent recovery money meant to help Americans recover from disasters, leaving people less able to rebound from the effects.",s042
1.0,Children need to get out and play. It is important to combat childhood obesity.,s043
0.0,because people are always trying to lose weight and they cant figure out why it doesnt happen or work out for them,s045
0.0,the weight which increases it may cause of getting cancer in our body affects personally,s046
0.0,EU leaders could not reach the climate target goal due to eastern countries objections.,s048
1.0,People I know care about climate change a lot.,s049
1.0,The article shows that we eat more when we exercise more and how it affects weight loss.,s051
0.0,This article matters to me personally because it is spreading fear and non-science thoughts on climate change which are not factually based.,s052
1.0,"If your partner has an eating disorder and you want to help, this article might show you how.",s053
0.0,"This is not proofed yet. Paints a picture of snake-oil sales, hyped-up claims and minuscule science",s054
0.0,This article could potentially warn people I know with hearing loss of the dangers they could face.,s055
0.0,Sleep apnea is a rising concern due to the obesity epidemic.,s056
1.0,We need to conserve our resources before they are gone and we can never get them back.  This also includes endangered animal species.,s057
1.0,"Climate change is an issue that will affect all of us, and we need to do something about it.",s058
1.0,This matters to all the females I know because it would educate them on food health and its effect on breast cancer. This is something that all female should know so they know they aren't unknowingly putting themselves at a higher risk.,s062
0.0,An article on how processed meat gives you cancer.,s063
0.0,the pharoahs tried in vain to stave off the effects of potential drought,s064
1.0,This article matters to people I know because plastic and trash in the ocean is a major concern for them and myself.,s065
0.0,"Trying to eat before a workout makes you feel gross, its better to skip it.",s066
1.0,It's quite relevant to the work that I have done for the last 6 years of my life.,s067
1.0,Things that were presented during a conference.,s068
0.0,So much wildlife is becoming endangered and it is sad to me that we are contributing to their deaths.,s069
0.0,This is true. Most people think it is some magical creation like the Wizard of Oz but it isn't.,s070
1.0,This article matters to people I know because they are against climate change.,s072
1.0,This matters to people I know because they try to recycle and who want to know what happens to recycling.,s073
1.0,Being able to prevent breast cancer would be a huge win to everyone,s074
1.0,climate change reflects nature,s075
0.0,it makes me sad that we are not taking care of the people in need in our country even though we have the funds available to do so,s076
1.0,The government will be giving people free money to go out and buy eco-friendly cars.,s078
1.0,a wonderful innovation on using AI to prevent cancer,s079
0.0,Taking antioxidants after working out isn't proven to help muscle soreness.,s080
1.0,It might be helpful in losing weight,s081
1.0,This article is about how some food's nutrients go up when they are cooked while other food's nutrients go down when cooked.,s082
1.0,It gives me a look at how people are trying to help solve climate change.,s083
1.0,being fit may be better for you then being a non smoker.,s084
1.0,This about how to stay safe during natural disasters.,s085
0.0,Disaster recovery funds are not being expedited.,s086
1.0,The senate passed a bill that will help protect certain parts of the environment.,s089
0.0,I have a family member who has a home in a flood zone.,s090
0.0,Skin infections are related to statins.,s092
0.0,Cardiovascular disease and obesity are closely related.,s093
0.0,"I would like to see the world start tackling climate change, so it's important to know what industries or individuals are fighting against that (and profiting from it).",s095
1.0,I know there are some genetic features involved in weight gain and this might explain why some of us can't lose or gain weight.,s097
1.0,How can there even be a contest at this point?  paper bags are obviously better for the environment which in turn is better for us all,s099
1.0,This article matters to people I know because it explains the Victory for Coal (beneficial to climate change).,s100
1.0,"As a practicing minimalist, consuming less is at the crux of my day!",s101
1.0,Cooking boost nutrients in tomatoes and spinach but could lower others.,s103
1.0,This article is about the correlation between banning sugary drinks and people's health.,s104
1.0,This article is about a start-up that is trying to predict environmental climate risks in the future for profit.,s106
1.0,It's about Senate completing a bill that conserves a huge swath of the wilderness for environmental safety.,s108
1.0,Farmer only fixed the rate for food...,s110
0.0,Eating processed meats and the effects it has on breast cancer risk.,s111
0.0,Hearing loss can negatively affect people in their everyday life.,s112
1.0,Its about informing people that different factors such as diet could remove plaques in your arteries and could decrease possibility of heart attacks.,s113
0.0,This article is about whether parents are responsible for overweight kids.,s114
1.0,How to help the environment by reducing my single use plastic habits.,s115
1.0,EAtting fish is good for your health. There hs been moe outlined about ti. It what people want to her to help them in the long run.,s116
1.0,grow green save environment,s117
1.0,"If it isn't obvious yet, being in good shape is called ""good"" for a reason.",s118
0.0,"This article contains many reasons to not buy a wind turbine, I only need one.",s119
0.0,grasses may be the cause of or worsen wildfires,s120
1.0,Aging may not be as severe as people think.,s121
0.0,It says low impact sports may put your bones at risk,s122
0.0,This article is about the effect of climate change on exotic locales and wildfires.,s123
1.0,This article matters to me because I've never been good with gluten free diets.,s124
1.0,My parents recycle regularly.,s125
0.0,eating the deli meat will increase the risk of cancer by colorectal,s126
0.0,a globe change our climate and people are scared,s127
0.0,This article is about avalanches caused by global warming in Tibet.,s130
1.0,I want to lose weight so it's interesting,s132
0.0,Who would have thought not hearing dangers would increase accident risks.,s133
