cond,SID,text,article_number
self,s001,It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.,8
self,s002,not so good i feel about this one,62
social,s003,Maybe it could do more than just make people run faster. Maybe do other things faster.,72
social,s004,"Maybe dancing won't just keep the heart young, but your brain too.",14
social,s005,CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.,88
social,s008,This is about the attempt to remove the endangered species act,89
self,s009,Healthy and nutritional value of banana over carbonated drinks,68
social,s010,CBD can help people with their pain,88
social,s012,Kids skipped school to protest demand on climate issues.,109
self,s014,I'm interested in alternative energy.,1
social,s015,This is a good way to be more environmentally friendly at the same time save some money.,47
social,s017,Statin users should be aware of its drawbacks.,80
social,s018,Climate change may be disastrous in the future. Some regions may face several crises at one time.,99
self,s019,"As fossil fuels are harmful to the environment, it is desirable to use solar energy as much as possible. This will benefit the earth. It is beneficial to every human being including me so it matters if the world is adding more solar power.",93
self,s020,"It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",82
self,s021,The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.,40
social,s024,A lot of people I know care about the environment and sustainability.,27
social,s025,This article describes how people's immune systems come together to fight off colds and flu.,100
social,s028,This is about climate,109
self,s030,Climate changes is one of the major thing in US and it has causes 1 trillion dollar  in leading companies in the USA and it will become visible in the next 5 years .,87
social,s031,Recycle is important.,49
self,s032,This article expresses a lie and an attempt to undermine President Trump's prestige.,29
self,s036,Both solar power and fossil fuels are big right now.,93
social,s037,this news have some information about the internet usage and related stuff.,89
social,s038,It is about a teenage girl who became popular for being outspoken over climate change.,65
self,s040,this is known because of my home ladies,60
social,s041,"Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",51
social,s042,"Why the Wilder Storms? It's a 'Loaded Dice' Problem
Global warming is bringing an era of wilder, more dangerous rains. 
The good news is that we're getting better at evacuating flood zones. 
The bad news is everything else.",15
self,s043,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",17
social,s045,A small study looked into people with a metabolic disorder may benefit from supplements of a common gut bacterium,74
self,s046,it describes that nuclear power which affect you personal and cause environment more bad,51
